"STRUCTURE","STRUCTURE_ID","ACTION","FREQ","FREQ_LABEL","REF_AREA","REF_AREA_LABEL","INDICATOR","INDICATOR_LABEL","SEX","SEX_LABEL","AGE","AGE_LABEL","URBANISATION","URBANISATION_LABEL","UNIT_MEASURE","UNIT_MEASURE_LABEL","COMP_BREAKDOWN_1","COMP_BREAKDOWN_1_LABEL","COMP_BREAKDOWN_2","COMP_BREAKDOWN_2_LABEL","COMP_BREAKDOWN_3","COMP_BREAKDOWN_3_LABEL","TIME_PERIOD","OBS_VALUE","AGG_METHOD","AGG_METHOD_LABEL","DECIMALS","DECIMALS_LABEL","DATABASE_ID","DATABASE_ID_LABEL","COMMENT_TS","UNIT_MULT","UNIT_MULT_LABEL","DATA_SOURCE","DATA_SOURCE_LABEL","UNIT_TYPE","UNIT_TYPE_LABEL","TIME_FORMAT","TIME_FORMAT_LABEL","COMMENT_OBS","OBS_STATUS","OBS_STATUS_LABEL","OBS_CONF","OBS_CONF_LABEL"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2000","5.200641255539424","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2001","3.919088808088105","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2002","2.755456115640982","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2003","2.9392895953076","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2004","3.114531479916096","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2005","3.551225584612496","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2006","4.04343515605099","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2007","3.533500131659721","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2008","0.7671657482906937","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2009","-3.768133069400534","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
