REF_AREA_LABEL,FREQ,FREQ_LABEL,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE_LABEL
Spain,A,Annual,2000,598102854756.0797,US dollars
Spain,A,Annual,2001,627798682378.741,US dollars
Spain,A,Annual,2002,708938227243.9229,US dollars
Spain,A,Annual,2003,907963217057.6451,US dollars
Spain,A,Annual,2004,1069829382514.6746,US dollars
Spain,A,Annual,2005,1154667551775.875,US dollars
Spain,A,Annual,2006,1261846683275.2922,US dollars
Spain,A,Annual,2007,1476746276854.5144,US dollars
Spain,A,Annual,2008,1636115447612.4995,US dollars
Spain,A,Annual,2009,1496587590847.6553,US dollars
Spain,A,Annual,2010,1427989078916.6694,US dollars
Spain,A,Annual,2011,1487568659241.248,US dollars
Spain,A,Annual,2012,1330994811670.3127,US dollars
Spain,A,Annual,2013,1362186923157.651,US dollars
Spain,A,Annual,2014,1380244561361.956,US dollars
Spain,A,Annual,2015,1206164777553.1245,US dollars
Spain,A,Annual,2016,1243015667917.1238,US dollars
Spain,A,Annual,2017,1321754088818.826,US dollars
Spain,A,Annual,2018,1431642809327.058,US dollars
Spain,A,Annual,2019,1403496387686.2722,US dollars
Spain,A,Annual,2020,1289783836971.2097,US dollars
Spain,A,Annual,2021,1461244901852.6897,US dollars
Spain,A,Annual,2022,1446498147749.033,US dollars
Spain,A,Annual,2023,1620090734956.8914,US dollars
Spain,A,Annual,2024,1722745978335.156,US dollars
