REF_AREA_NAME,FREQ_ID,FREQ_NAME,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE_NAME
Spain,Q,Quarterly,1999-Q4,596125.751697307,Euros
Spain,Q,Quarterly,2000-Q1,647851.0,Euros
Spain,Q,Quarterly,2000-Q2,647851.0,Euros
Spain,Q,Quarterly,2000-Q3,647851.0,Euros
Spain,Q,Quarterly,2000-Q4,647851.0,Euros
Spain,Q,Quarterly,2001-Q1,700993.0,Euros
Spain,Q,Quarterly,2001-Q2,700993.0,Euros
Spain,Q,Quarterly,2001-Q3,700993.0,Euros
Spain,Q,Quarterly,2001-Q4,700993.0,Euros
Spain,Q,Quarterly,2002-Q1,749552.0,Euros
Spain,Q,Quarterly,2002-Q2,749552.0,Euros
Spain,Q,Quarterly,2002-Q3,749552.0,Euros
Spain,Q,Quarterly,2002-Q4,749552.0,Euros
Spain,Q,Quarterly,2003-Q1,802266.0,Euros
Spain,Q,Quarterly,2003-Q2,802266.0,Euros
Spain,Q,Quarterly,2003-Q3,802266.0,Euros
Spain,Q,Quarterly,2003-Q4,802266.0,Euros
Spain,Q,Quarterly,2004-Q1,859437.0,Euros
Spain,Q,Quarterly,2004-Q2,859437.0,Euros
Spain,Q,Quarterly,2004-Q3,859437.0,Euros
Spain,Q,Quarterly,2004-Q4,859437.0,Euros
Spain,Q,Quarterly,2005-Q1,927357.0,Euros
Spain,Q,Quarterly,2005-Q2,927357.0,Euros
Spain,Q,Quarterly,2005-Q3,927357.0,Euros
Spain,Q,Quarterly,2005-Q4,927357.0,Euros
Spain,Q,Quarterly,2006-Q1,1003823.0,Euros
Spain,Q,Quarterly,2006-Q2,1003823.0,Euros
Spain,Q,Quarterly,2006-Q3,1003823.0,Euros
Spain,Q,Quarterly,2006-Q4,1003823.0,Euros
Spain,Q,Quarterly,2007-Q1,1075539.0,Euros
Spain,Q,Quarterly,2007-Q2,1075539.0,Euros
Spain,Q,Quarterly,2007-Q3,1075539.0,Euros
Spain,Q,Quarterly,2007-Q4,1075539.0,Euros
Spain,Q,Quarterly,2008-Q1,1109541.0,Euros
Spain,Q,Quarterly,2008-Q2,1109541.0,Euros
Spain,Q,Quarterly,2008-Q3,1109541.0,Euros
Spain,Q,Quarterly,2008-Q4,1109541.0,Euros
Spain,Q,Quarterly,2009-Q1,1069323.0,Euros
Spain,Q,Quarterly,2009-Q2,1069323.0,Euros
Spain,Q,Quarterly,2009-Q3,1069323.0,Euros
Spain,Q,Quarterly,2009-Q4,1069323.0,Euros
Spain,Q,Quarterly,2010-Q1,1072709.0,Euros
Spain,Q,Quarterly,2010-Q2,1072709.0,Euros
Spain,Q,Quarterly,2010-Q3,1072709.0,Euros
Spain,Q,Quarterly,2010-Q4,1072709.0,Euros
Spain,Q,Quarterly,2011-Q1,1063763.0,Euros
Spain,Q,Quarterly,2011-Q2,1063763.0,Euros
Spain,Q,Quarterly,2011-Q3,1063763.0,Euros
Spain,Q,Quarterly,2011-Q4,1063763.0,Euros
Spain,Q,Quarterly,2012-Q1,1031104.0,Euros
Spain,Q,Quarterly,2012-Q2,1031104.0,Euros
Spain,Q,Quarterly,2012-Q3,1031104.0,Euros
Spain,Q,Quarterly,2012-Q4,1031104.0,Euros
Spain,Q,Quarterly,2013-Q1,1020677.0,Euros
Spain,Q,Quarterly,2013-Q2,1020677.0,Euros
Spain,Q,Quarterly,2013-Q3,1020677.0,Euros
Spain,Q,Quarterly,2013-Q4,1020677.0,Euros
Spain,Q,Quarterly,2014-Q1,1032608.0,Euros
Spain,Q,Quarterly,2014-Q2,1032608.0,Euros
Spain,Q,Quarterly,2014-Q3,1032608.0,Euros
Spain,Q,Quarterly,2014-Q4,1032608.0,Euros
Spain,Q,Quarterly,2015-Q1,1078092.0,Euros
Spain,Q,Quarterly,2015-Q2,1078092.0,Euros
Spain,Q,Quarterly,2015-Q3,1078092.0,Euros
Spain,Q,Quarterly,2015-Q4,1078092.0,Euros
Spain,Q,Quarterly,2016-Q1,1114420.0,Euros
Spain,Q,Quarterly,2016-Q2,1114420.0,Euros
Spain,Q,Quarterly,2016-Q3,1114420.0,Euros
Spain,Q,Quarterly,2016-Q4,1114420.0,Euros
Spain,Q,Quarterly,2017-Q1,1162492.0,Euros
Spain,Q,Quarterly,2017-Q2,1162492.0,Euros
Spain,Q,Quarterly,2017-Q3,1162492.0,Euros
Spain,Q,Quarterly,2017-Q4,1162492.0,Euros
Spain,Q,Quarterly,2018-Q1,1203859.0,Euros
Spain,Q,Quarterly,2018-Q2,1203859.0,Euros
Spain,Q,Quarterly,2018-Q3,1203859.0,Euros
Spain,Q,Quarterly,2018-Q4,1203859.0,Euros
Spain,Q,Quarterly,2019-Q1,1245513.0,Euros
Spain,Q,Quarterly,2019-Q2,1245513.0,Euros
Spain,Q,Quarterly,2019-Q3,1245513.0,Euros
Spain,Q,Quarterly,2019-Q4,1245513.0,Euros
Spain,Q,Quarterly,2020-Q1,1119010.0,Euros
Spain,Q,Quarterly,2020-Q2,1119010.0,Euros
Spain,Q,Quarterly,2020-Q3,1119010.0,Euros
Spain,Q,Quarterly,2020-Q4,1119010.0,Euros
Spain,Q,Quarterly,2021-Q1,1222290.0,Euros
Spain,Q,Quarterly,2021-Q2,1222290.0,Euros
Spain,Q,Quarterly,2021-Q3,1222290.0,Euros
Spain,Q,Quarterly,2021-Q4,1222290.0,Euros
Spain,Q,Quarterly,2022-Q1,1346377.0,Euros
