REF_AREA_LABEL,FREQ,FREQ_LABEL,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE_LABEL
Spain,A,Annual,1980,11.011,Percentage of labor force
Spain,A,Annual,1981,13.755,Percentage of labor force
Spain,A,Annual,1982,15.77,Percentage of labor force
Spain,A,Annual,1983,17.215,Percentage of labor force
Spain,A,Annual,1984,19.937,Percentage of labor force
Spain,A,Annual,1985,21.305,Percentage of labor force
Spain,A,Annual,1986,20.907,Percentage of labor force
Spain,A,Annual,1987,20.223,Percentage of labor force
Spain,A,Annual,1988,19.238,Percentage of labor force
Spain,A,Annual,1989,17.24,Percentage of labor force
Spain,A,Annual,1990,16.238,Percentage of labor force
Spain,A,Annual,1991,16.313,Percentage of labor force
Spain,A,Annual,1992,18.353,Percentage of labor force
Spain,A,Annual,1993,22.64,Percentage of labor force
Spain,A,Annual,1994,24.118,Percentage of labor force
Spain,A,Annual,1995,22.9,Percentage of labor force
Spain,A,Annual,1996,22.08,Percentage of labor force
Spain,A,Annual,1997,20.61,Percentage of labor force
Spain,A,Annual,1998,18.605,Percentage of labor force
Spain,A,Annual,1999,15.64,Percentage of labor force
Spain,A,Annual,2000,13.857,Percentage of labor force
Spain,A,Annual,2001,10.54,Percentage of labor force
Spain,A,Annual,2002,11.45,Percentage of labor force
Spain,A,Annual,2003,11.485,Percentage of labor force
Spain,A,Annual,2004,10.965,Percentage of labor force
Spain,A,Annual,2005,9.153,Percentage of labor force
Spain,A,Annual,2006,8.453,Percentage of labor force
Spain,A,Annual,2007,8.233,Percentage of labor force
Spain,A,Annual,2008,11.245,Percentage of labor force
Spain,A,Annual,2009,17.855,Percentage of labor force
Spain,A,Annual,2010,19.858,Percentage of labor force
Spain,A,Annual,2011,21.39,Percentage of labor force
Spain,A,Annual,2012,24.788,Percentage of labor force
Spain,A,Annual,2013,26.095,Percentage of labor force
Spain,A,Annual,2014,24.443,Percentage of labor force
Spain,A,Annual,2015,22.058,Percentage of labor force
Spain,A,Annual,2016,19.635,Percentage of labor force
Spain,A,Annual,2017,17.225,Percentage of labor force
Spain,A,Annual,2018,15.255,Percentage of labor force
Spain,A,Annual,2019,14.105,Percentage of labor force
Spain,A,Annual,2020,15.533,Percentage of labor force
Spain,A,Annual,2021,14.785,Percentage of labor force
Spain,A,Annual,2022,12.918,Percentage of labor force
Spain,A,Annual,2023,12.115,Percentage of labor force
Spain,A,Annual,2024,11.642,Percentage of labor force
Spain,A,Annual,2025,11.34,Percentage of labor force
Spain,A,Annual,2026,11.04,Percentage of labor force
Spain,A,Annual,2027,11.04,Percentage of labor force
Spain,A,Annual,2028,11.04,Percentage of labor force
Spain,A,Annual,2029,11.04,Percentage of labor force
